ID,Title,Author,Fiction,Genre,Gender,Origin,Language,Pages,Year Published,Centuries,Nobel Prize,Avg_rating,Num_rating,Num_reviews,URL 
55,Night ,Elie Wiesel,Non-fiction,Autobiography,male,Romania,German,120,1956,20th,Peace (1986),4.37,1275170,38957,https://www.goodreads.com/book/show/1617.Night
45,Into the Wild,Jon Krakauer,Non-fiction,Autobiography,male,USA,English,203,1996,20th,,4.01,1114811,29734,https://www.goodreads.com/book/show/1845.Into_the_Wild
46,Islam dalam Sejarah dan Kebudayaan Melayu,Syed Muhammad Naquib al-Attas,Non-fiction,History,male,Malaysia,Malay,76,1972,20th,,4.35,231,35,https://www.goodreads.com/book/show/9793290-islam-dalam-sejarah-dan-kebudayaan-melayu
47,Latin America Diaries,Ernesto Che Guevara,Non-fiction,Autobiography,male,Argentina,Spanish,226,2000,20th,,3.72,759,51,https://www.goodreads.com/book/show/18936763-latin-america-diaries
48,Life Lessons From Freud,Brett Kahr,Non-fiction,Psychology,male,UK,English,118,2013,21st,,3.51,454,42,https://www.goodreads.com/book/show/18632010-life-lessons-from-freud
49,Love Without Limits,Nick Vujicic,Non-fiction,Autobiography,male,Australia,English,256,2014,21st,,4.17,851,104,https://www.goodreads.com/book/show/22223314-love-without-limits
50,Man's Search for Meaning,Viktor E. Frankl,Non-fiction,Autobiography,male,Austria,German,165,1946,20th,,4.37,751874,41612,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
63,Religion Without God,Ronald Dworkin,Non-fiction,Faith,male,USA,English,192,2013,21st,,3.55,337,52,https://www.goodreads.com/book/show/17622398-religion-without-god
5,30-Second Religion,Russell Re Manning,Non-fiction,Faith,male,UK,English,160,2011,21st,,3.58,296,38,https://www.goodreads.com/book/show/13124582-30-second-religion
39,I Know Why the Caged Bird Sings,Maya Angelou,Non-fiction,Autobiography,female,USA,English,289,1969,20th,,4.29,543431,17027,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
54,My Sister's Keeper,Jodi Picoult,Fiction,Drama,female,USA,English,423,2004,21st,,4.1,1236741,38320,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
91,The Woman in Me,Britney Spears,Non-fiction,Autobiography,female,USA,English,288,2023,21st,,3.86,468244,52150,https://www.goodreads.com/book/show/63133205-the-woman-in-me
