Word,Count
police,2
system,2
supremacy,2
brrt,2
occupyin,2
students,2
gaza,2
impossible,2
painted,2
universe,2
mepostchorus,2
bottom,2
wantchorus,2
wawake,2
sweep,1
seventy,1
twentythree,1
hairs,1
crowds,1
evergreen,1
smiles,1
memoryprechorus,1
ringing,1
drone,1
skinverse,1
conversations,1
seep,1
skininstrumental,1
meanest,1
prophets,1
profit,1
kicks,1
growchorus,1
seasons,1
bound,1
canverse,1
6,1
ringin,1
doorbell,1
tonightverse,1
tonightoutro,1
borrow,1
sunday,1
startprechorus,1
king,1
switched,1
knock,1
pattern,1
catting,1
spliff,1
talisman,1
planning,1
showtime,1
spanish,1
senorita,1
guapa,1
bun,1
zoobie,1
overdraft,1
lending,1
bebridge,1
government,1
shoe,1
cash,1
payslip,1
chilling,1
mary,1
dating,1
flavours,1
fruity,1
studi,1
baton,1
susie,1
loopy,1
senoritas,1
boujee,1
l,1
wife,1
snap,1
badders,1
shifts,1
graft,1
bluffingbridge,1
straight,1
heartbeat,1
invincible,1
background,1
driving,1
lane,1
kidsbridge,1
saturday,1
jumped,1
raced,1
knocked,1
choice,1
altar,1
goprechorus,1
answers,1
so–,1
wrapped,1
elastic,1
toys,1
taiwanese,1
laughed,1
spastic,1
laundrettes,1
cleaned,1
rubbed,1
puddles,1
splashed,1
huddles,1
crows,1
dressed,1
suits,1
boots,1
cafe,1
books,1
crackling,1
vinyl,1
carved,1
poem,1
urinal,1
evening,1
packet,1
shone,1
buttons,1
jacket,1
nail,1
tacked,1
pigeons,1
pecked,1
trains,1
sparks,1
flew,1
rainbows,1
oil,1
stains,1
iphones,1
widow,1
mist,1
forage,1
storage,1
mortgage,1
thumb,1
trudge,1
disused,1
mattress,1
blanket,1
stitch,1
needle,1
thread,1
deaddont,1
brilliant,1
bel,1
midjuly,1
channeling,1
electric,1
soulchorus,1
bathe,1
melodies,1
minechorus,1
aaah,1
upchorus,1
teas,1
wondering,1
therell,1
imply,1
soaking,1
handed,1
towel,1
falls,1
dreamin,1
moonlight,1
realised,1
blink,1
whisper,1
minutes,1
tomorrowchorus,1
strangers,1
sometime,1
montreal,1
lovely,1
backpacking,1
traveling,1
europe,1
languages,1
eiffel,1
tower,1
rome,1
familiar,1
daily,1
races,1
filling,1
glasses,1
teacher,1
enlarge,1
company,1
sadness,1
resignation,1
knowinstrumental,1
screwed,1
hung,1
countries,1
possessions,1
greed,1
brotherhood,1
sharing,1
bathtub,1
clubs,1
munchies,1
binge,1
twinkies,1
tub,1
daddies,1
playground,1
loosen,1
frown,1
greasy,1
easychorus,1
oohoohoohoohoutro,1
bearded,1
barley,1
nightly,1
beside,1
spinning,1
dress,1
tire,1
flowered,1
trail,1
marked,1
fathers,1
map,1
meinstrumental,1
x10,1
lipstick,1
myselfverse,1
friendly,1
smiling,1
needs,1
putting,1
myselfhook,1
kidnap,1
chose,1
seeing,1
stares,1
politely,1
photos,1
herechorusx2,1
stargate,1
mikkel,1
eriksen,1
ross,1
golan,1
tor,1
erik,1
hermansen,1
nowow,1
spending,1
wasting,1
changing,1
knowprechorus,1
blocked,1
loaded,1
